Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.219.136-192.178.24.174-45272-443-6,192.168.219.136,45272,192.178.24.174,443,6,25/04/2025 02:34:00 PM,526374,12,9,792,5953,517,0,66,152.1536305,2532,0,661.4444444,915.4568683,12814.08276,39.89558755,26318.7,46073.51955,176924,22,475943,43267.54545,81913.84768,278151,92,458755,57344.375,69615.4226,190364,1216,0,0,0,0,392,296,22.7974786,17.09810895,0,2532,306.5909091,650.3128668,422906.8247,2,2,0,8,20,0,0,0,0,321.1904762,66,661.4444444,0,0,0,6745,9,17084,0,0,0,0,32120,1050,4,32,0,0,0,0,0,0,0,0,
192.168.219.136-192.178.24.206-43002-443-6,192.168.219.136,43002,192.178.24.206,443,6,25/04/2025 02:34:00 PM,1295133,64,99,7498,113180,1388,0,117.15625,343.7767464,2776,0,1143.232323,676.9702436,93178.07515,125.8558001,7994.648148,29484.97332,304461,0,1226177,19463.12698,56071.02923,377319,3,1222285,12472.29592,38433.03475,304461,0,0,0,0,0,2056,3176,49.41577429,76.44002585,0,2776,735.8414634,758.7016027,575628.122,2,2,0,75,162,0,0,0,1,740.3558282,117.15625,1143.232323,0,0,0,120678,100,106268,0,0,0,0,32120,1026,13,32,0,0,0,0,0,0,0,0,
192.168.219.136-34.149.100.209-49380-443-6,192.168.219.136,49380,34.149.100.209,443,6,25/04/2025 02:34:02 PM,239709,11,7,792,3822,517,0,72,158.0841548,1388,0,546,618.4219164,19248.33861,75.0910479,14100.52941,23079.13245,64526,3,239709,23970.9,27055.37591,67052,23,178163,29693.83333,39714.56203,81949,3,0,0,0,0,348,232,45.88897371,29.20207418,0,1388,242.8421053,445.217957,198219.0292,1,2,1,8,16,0,0,0,0,256.3333333,72,546,0,0,0,4614,9,28297,0,0,0,0,32120,1050,4,20,0,0,0,0,0,0,0,0,
34.149.100.209-192.168.219.136-443-49380-6,34.149.100.209,443,192.168.219.136,49380,6,25/04/2025 02:34:02 PM,57,1,1,0,0,0,0,0,0,0,0,0,0,0,35087.7193,57,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,17543.85965,17543.85965,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,
34.149.100.209-192.168.219.136-443-49380-6,34.149.100.209,443,192.168.219.136,49380,6,25/04/2025 02:34:02 PM,26,1,1,0,0,0,0,0,0,0,0,0,0,0,76923.07692,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,38461.53846,38461.53846,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,
192.168.219.136-192.178.24.142-49620-443-6,192.168.219.136,49620,192.178.24.142,443,6,25/04/2025 02:34:07 PM,2603565,14,11,979,5953,517,0,69.92857143,145.0302166,1388,0,541.1818182,651.511292,2662.503145,9.602218497,108481.875,214902.4984,746625,2,1856261,142789.3077,211623.1726,587107,18,2299528,229952.8,402481.3601,1167323,2,0,0,0,0,468,372,5.377242358,4.224976138,0,1388,266.6153846,488.2641152,238401.8462,2,2,0,9,24,0,0,0,0,277.28,69.92857143,541.1818182,0,0,0,6932,11,4580,0,0,0,0,32120,1050,5,32,0,0,0,0,0,0,0,0,
192.168.219.136-172.217.169.234-57558-443-6,192.168.219.136,57558,172.217.169.234,443,6,25/04/2025 02:34:08 PM,5105149,39,31,3736,34866,1388,0,95.79487179,289.6787858,2776,0,1124.709677,811.4161363,7561.385574,13.71164681,73987.66667,178361.175,864165,1,5048868,132864.9474,262689.1981,1165624,2,4924490,164149.6667,400344.2829,2053512,1,0,0,0,0,1468,1000,7.63934608,6.07230073,0,2776,543.6901408,770.2049744,593215.7026,2,2,0,25,69,0,0,0,0,551.4571429,95.79487179,1124.709677,0,0,0,38085,35,10361,0,0,0,0,32120,1041,12,32,0,0,0,0,0,0,0,0,
192.168.219.136-142.250.102.84-60056-443-6,192.168.219.136,60056,142.250.102.84,443,6,25/04/2025 02:34:17 PM,4450037,12,7,987,768,664,0,82.25,190.1684062,768,0,109.7142857,290.2767153,394.3787434,4.269627421,247224.2778,633921.8905,2561197,0,1888840,171712.7273,323715.3165,1019580,51,3175761,529293.5,1027784.041,2580246,0,0,0,0,0,400,252,2.696606792,1.573020629,0,768,87.75,219.4260156,48147.77632,2,4,0,7,17,0,0,0,0,92.36842105,82.25,109.7142857,0,0,0,1755,7,3018,6,493,3,384,32120,1048,6,32,0,0,0,0,0,0,0,0,
192.168.219.136-142.250.102.84-60056-443-6,192.168.219.136,60056,142.250.102.84,443,6,25/04/2025 02:34:21 PM,102787,2,1,0,0,0,0,0,0,0,0,0,0,0,29.18657029,51393.5,72623.40196,102746,41,102787,102787,0,102787,102787,0,0,0,0,0,0,0,0,0,40,44,19.45771352,9.728856762,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,0,20,0,0,0,0,0,0,0,0,
192.168.219.136-142.250.201.129-51570-443-6,192.168.219.136,51570,142.250.201.129,443,6,25/04/2025 02:34:28 PM,419132,11,11,792,8570,517,0,72,158.0841548,1388,0,779.0909091,656.0558596,22336.63858,52.48943054,19958.66667,34323.12339,114325,0,419132,41913.2,62407.02221,198170,117,352392,35239.2,50208.20503,118524,0,0,0,0,0,348,360,26.24471527,26.24471527,0,1388,407.0434783,582.9817928,339867.7708,1,2,1,9,20,0,0,0,1,425.5454545,72,779.0909091,0,0,0,9362,12,26845,0,0,0,0,32120,1050,4,20,0,0,0,0,0,0,0,0,
